,Your Rating,Date Rated,Title,URL,IMDb Rating,Runtime (mins),Year,Genres,Release Date,Directors,Viewing Year
65,7,2022-02-21,Spencer,https://www.imdb.com/title/tt12536294/,6.8,117,2021,"Biography, Drama",2021-09-03,Pablo Larraín,2022
66,2,2022-02-22,Marx può aspettare,https://www.imdb.com/title/tt12544762/,7.7,96,2021,Documentary,2021-07-15,Marco Bellocchio,Before 2022
67,5,2022-02-22,Tralala,https://www.imdb.com/title/tt12591668/,6.3,120,2021,Musical,2021-07-14,"Arnaud Larrieu, Jean-Marie Larrieu",Before 2022
68,9,2022-02-22,"Les Olympiades, Paris 13e",https://www.imdb.com/title/tt12708658/,7.1,105,2021,"Comedy, Drama, Romance",2021-07-14,Jacques Audiard,Before 2022
69,6,2022-02-22,Easy A,https://www.imdb.com/title/tt1282140/,7.0,92,2010,"Comedy, Drama, Romance",2010-09-11,Will Gluck,Before 2022
70,6,2022-02-22,Barbaque,https://www.imdb.com/title/tt12887770/,6.9,87,2021,"Comedy, Horror",2021-09-08,Fabrice Eboué,Before 2022
71,6,2022-02-22,Serre moi fort,https://www.imdb.com/title/tt13137576/,6.5,97,2021,Drama,2021-07-14,Mathieu Amalric,Before 2022
72,4,2022-02-22,Les amours d'Anaïs,https://www.imdb.com/title/tt13142240/,6.3,98,2021,"Comedy, Drama, Romance",2021-07-10,Charline Bourgeois-Tacquet,Before 2022
73,6,2022-02-22,La fracture,https://www.imdb.com/title/tt13321730/,6.6,98,2021,"Comedy, Drama",2021-07-10,Catherine Corsini,Before 2022
74,8,2022-02-22,Les vedettes,https://www.imdb.com/title/tt13460190/,6.7,101,2022,Comedy,2022-01-10,Jonathan Barré,2022
75,1,2022-02-22,Tromperie,https://www.imdb.com/title/tt13613056/,5.5,105,2021,Drama,2021-07-13,Arnaud Desplechin,Before 2022
76,9,2022-02-22,Inception,https://www.imdb.com/title/tt1375666/,8.8,148,2010,"Action, Adventure, Sci-Fi, Thriller",2010-07-08,Christopher Nolan,Before 2022
77,5,2022-02-22,La croisade,https://www.imdb.com/title/tt13846352/,5.5,67,2021,Comedy,2021-07-12,Louis Garrel,Before 2022
78,4,2022-02-21,Doraibu mai kâ,https://www.imdb.com/title/tt14039582/,7.8,179,2021,Drama,2021-07-11,Ryûsuke Hamaguchi,Before 2022
79,7,2022-02-22,Entre les vagues,https://www.imdb.com/title/tt14064662/,6.9,99,2021,Drama,2021-07-14,Anaïs Volpé,Before 2022
80,5,2022-02-22,10 Things I Hate About You,https://www.imdb.com/title/tt0147800/,7.3,97,1999,"Comedy, Drama, Romance",1999-03-31,Gil Junger,Before 2022
81,8,2022-02-22,Revolution of Our Times,https://www.imdb.com/title/tt15049118/,9.3,152,2021,Documentary,2021-07-16,Kiwi Chow,Before 2022
82,7,2022-02-22,Pil,https://www.imdb.com/title/tt15091284/,6.5,89,2021,"Animation, Adventure, Fantasy",2021-08-11,Julien Fournet,Before 2022
83,4,2022-02-22,Debout les femmes!,https://www.imdb.com/title/tt15170082/,7.6,85,2021,Documentary,2021-10-13,"Gilles Perret, François Ruffin",Before 2022
84,7,2022-02-22,Potiche,https://www.imdb.com/title/tt1521848/,6.4,103,2010,Comedy,2010-09-04,François Ozon,Before 2022
85,7,2022-02-22,What Happened to Monday,https://www.imdb.com/title/tt1536537/,6.9,123,2017,"Action, Crime, Fantasy, Mystery, Sci-Fi, Thriller",2017-08-05,Tommy Wirkola,Before 2022
86,10,2022-02-22,Midnight in Paris,https://www.imdb.com/title/tt1605783/,7.7,94,2011,"Comedy, Fantasy, Romance",2011-05-11,Woody Allen,Before 2022
87,5,2022-02-22,Le nom des gens,https://www.imdb.com/title/tt1646974/,7.2,100,2010,"Comedy, Drama, Romance",2010-05-13,Michel Leclerc,Before 2022
88,3,2022-02-22,"Me, Myself & Irene",https://www.imdb.com/title/tt0183505/,6.6,116,2000,Comedy,2000-06-15,"Bobby Farrelly, Peter Farrelly",Before 2022
89,6,2022-02-22,Les neiges du Kilimandjaro,https://www.imdb.com/title/tt1852006/,7.2,107,2011,"Comedy, Drama, Romance",2011-05-14,Robert Guédiguian,Before 2022
90,8,2022-02-22,Casse-tête chinois,https://www.imdb.com/title/tt1937118/,7.0,117,2013,"Comedy, Drama, Romance",2013-08-23,Cédric Klapisch,2022
91,8,2022-02-22,Gone Girl,https://www.imdb.com/title/tt2267998/,8.1,149,2014,"Drama, Mystery, Thriller",2014-09-26,David Fincher,Before 2022
92,9,2022-02-22,The Grand Budapest Hotel,https://www.imdb.com/title/tt2278388/,8.1,99,2014,"Adventure, Comedy, Crime",2014-02-06,Wes Anderson,Before 2022
93,4,2022-02-22,Flag Day,https://www.imdb.com/title/tt2304637/,4.9,109,2021,"Crime, Drama",2021-07-10,Sean Penn,Before 2022
94,9,2022-02-22,Coco,https://www.imdb.com/title/tt2380307/,8.4,105,2017,"Animation, Adventure, Comedy, Family, Fantasy, Music, Mystery",2017-10-20,"Adrian Molina, Lee Unkrich",Before 2022
95,5,2022-02-21,No Time to Die,https://www.imdb.com/title/tt2382320/,7.3,163,2021,"Action, Adventure, Thriller",2021-09-28,Cary Joji Fukunaga,Before 2022
