,Your Rating,Date Rated,Title,URL,IMDb Rating,Runtime (mins),Year,Genres,Release Date,Directors,Viewing Year
133,10,2022-02-21,Call Me by Your Name,https://www.imdb.com/title/tt5726616/,7.9,132,2017,"Drama, Romance",2017-01-22,Luca Guadagnino,Before 2022
134,4,2022-02-22,Radioactive,https://www.imdb.com/title/tt6017756/,6.3,109,2019,"Biography, Drama, Romance",2019-09-06,Marjane Satrapi,Before 2022
135,3,2022-02-22,Annette,https://www.imdb.com/title/tt6217926/,6.4,141,2021,"Drama, Musical, Romance",2021-07-06,Leos Carax,Before 2022
136,6,2022-02-22,2001: A Space Odyssey,https://www.imdb.com/title/tt0062622/,8.3,149,1968,"Adventure, Sci-Fi",1968-04-02,Stanley Kubrick,Before 2022
137,5,2022-02-22,Les demoiselles de Rochefort,https://www.imdb.com/title/tt0062873/,7.7,120,1967,"Comedy, Drama, Musical, Romance",1967-03-08,Jacques Demy,Before 2022
138,8,2022-02-22,The White Tiger,https://www.imdb.com/title/tt6571548/,7.1,125,2021,"Crime, Drama",2021-01-22,Ramin Bahrani,Before 2022
139,8,2022-02-22,Mauvaises herbes,https://www.imdb.com/title/tt6708116/,7.3,100,2018,Comedy,2018-06-05,Kheiron,Before 2022
140,5,2022-02-22,Tenet,https://www.imdb.com/title/tt6723592/,7.4,150,2020,"Action, Sci-Fi, Thriller",2020-08-22,Christopher Nolan,Before 2022
141,9,2022-02-22,Den skyldige,https://www.imdb.com/title/tt6742252/,7.5,85,2018,"Crime, Drama, Thriller",2018-01-21,Gustav Möller,Before 2022
142,5,2022-02-22,Benedetta,https://www.imdb.com/title/tt6823148/,6.8,131,2021,"Biography, Drama, History, Romance",2021-07-09,Paul Verhoeven,Before 2022
143,8,2022-02-22,Mr. Jones,https://www.imdb.com/title/tt6828390/,6.9,141,2019,"Biography, Drama, Thriller",2019-02-10,Agnieszka Holland,Before 2022
144,5,2022-02-22,Au bout des doigts,https://www.imdb.com/title/tt6858020/,6.4,105,2018,"Drama, Romance",2018-08-24,Ludovic Bernard,Before 2022
145,3,2022-02-22,The Perfect Candidate,https://www.imdb.com/title/tt6971114/,6.5,104,2019,"Comedy, Drama",2019-08-28,Haifaa Al-Mansour,Before 2022
146,9,2022-02-22,Le sommet des dieux,https://www.imdb.com/title/tt7014378/,7.5,95,2021,"Animation, Adventure, Drama, Mystery, Sport",2021-07-10,Patrick Imbert,Before 2022
147,8,2022-02-22,Killing Eve,https://www.imdb.com/title/tt7016936/,8.2,42,2018,"Action, Adventure, Drama, Thriller",2018-04-07,,Before 2022
148,5,2022-02-22,A Rainy Day in New York,https://www.imdb.com/title/tt7139936/,6.5,92,2019,"Comedy, Romance",2019-07-26,Woody Allen,Before 2022
149,8,2022-02-22,Au poste!,https://www.imdb.com/title/tt7156222/,6.7,73,2018,Comedy,2018-06-26,Quentin Dupieux,Before 2022
150,6,2022-02-22,Edmond,https://www.imdb.com/title/tt7201846/,7.3,110,2018,"Comedy, Drama, History, Romance",2018-08-22,Alexis Michalik,Before 2022
151,8,2022-02-22,Amanda,https://www.imdb.com/title/tt7491144/,7.0,107,2018,Drama,2018-08-31,Mikhaël Hers,Before 2022
152,5,2022-02-22,ADN,https://www.imdb.com/title/tt7600716/,5.9,90,2020,Drama,2020-09-11,Maïwenn,Before 2022
153,2,2022-02-22,A Christmas Prince,https://www.imdb.com/title/tt7608418/,5.8,92,2017,"Comedy, Family, Romance",2017-11-17,Alex Zamm,Before 2022
154,6,2022-02-22,Death on the Nile,https://www.imdb.com/title/tt7657566/,6.6,127,2022,"Crime, Drama, Mystery",2022-02-09,Kenneth Branagh,2022
155,7,2022-02-21,Nightmare Alley,https://www.imdb.com/title/tt7740496/,7.2,150,2021,"Crime, Drama, Thriller",2021-12-01,Guillermo del Toro,2022
